DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6016;P1894;P6020;P6040;P6051;P5502;P6071;P6071S1;P6074;P767;P6076;P6076S1;P6076S2;P6077;P6096;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P1895;P1896;P1897;P1898;P1899;P1901;P1902;P1903;P1904;P1905;LLAVEHOG;FEX_C;N_HIJOS;N_NIETOS;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S11;P1082;P1082S1;P1082S2;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
6015284;3;1;3;3;3;1;18;3;5;;;1;;;;;;;2;;4;1;1;;6;;6;0;7;0;9;10;8;5;2;10;60152841;2105.541787;0;0;5;1;5;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;1;;;;1;;1;1;;;;;;1;1;1;;;1;;;1;1;;1;2;1;;;;;1;;1;;1;1;;;5;;;;;;
6015363;1;1;1;1;3;2;74;1;3;;;1;;;;;;;3;;10;3;;10;6;;7;7;7;6;7;7;7;7;7;7;60153631;339.4833527;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;;1;;;
6015363;2;1;2;2;3;1;33;3;5;;;1;;;;;;;3;;10;1;1;;6;;10;10;10;10;10;10;10;2;2;10;60153631;339.4833527;0;0;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;1;;;1;1;1;;;;;1;;;;1;2;1;;;;;1;;1;1;1;1;;;1;;1;1;;;
6015383;1;1;1;1;3;2;60;1;5;;;2;1;2;5;5890;1;1;3;;9;3;;9;5;;6;9;8;8;8;7;8;3;0;10;60153831;467.808935;1;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;1;;1;1;;;
6015383;2;1;2;2;3;1;24;3;5;;;2;1;2;5;5890;1;1;2;;2;1;1;;5;;10;10;10;9;10;8;8;4;0;10;60153831;467.808935;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;1;;1;1;1;;;;5;;;;;;
6015393;1;1;1;1;3;2;54;1;5;;;1;;;;;;;3;;10;1;3;;6;;2;0;2;1;1;3;2;6;2;8;60153931;1566.634148;1;0;5;4;5;;1;1;1;2;2;2;2;2;2;3;;;1;;1;;;;;;1;;;;;;;;;1;1;1;;;;1;;;;;1;2;1;;;;;1;;1;;;1;;;5;;;;;;
6015393;2;1;2;2;3;2;24;3;5;;;1;;;;;;;2;;3;1;1;;6;;8;4;4;0;4;6;8;2;1;10;60153931;1566.634148;0;0;5;1;5;;2;1;1;2;2;2;1;2;2;1;;;1;;;;;;;;1;;;;;;;;;;1;1;;;;;;;;;2;;;1;;;1;1;;;1;;;;;1;;1;;;;
6015393;3;1;3;3;3;2;87;5;3;;;1;;;;;;;3;;10;3;;10;6;;7;4;5;7;8;4;4;8;4;8;60153931;1566.634148;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;1;;1;;;;
6015417;1;1;1;1;3;2;65;1;3;;;1;;;;;;;3;;1;3;;1;6;;3;0;4;5;0;2;2;3;2;5;60154171;1662.745419;1;2;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;;;;;;2;;1;1;;;
6015417;2;1;2;2;3;1;44;3;5;;;1;;;;;;;2;;2;1;1;;6;;5;0;7;4;1;4;3;3;2;6;60154171;1662.745419;0;0;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;1;;1;1;;;;;2;;1;1;;;
